Date : 2023-05-26 09:59:27
Directory : c:\Users\shahe\Documents\GitHub\front-end\lib
Total : 105 files,  14030 codes, 834 comments, 1056 blanks, all 15920 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |        105 |     14,030 |        834 |      1,056 |     15,920 |
+----------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                 | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                    |        105 |     14,030 |        834 |      1,056 |     15,920 |
| . (Files)                                                                                                            |          1 |         59 |          4 |          4 |         67 |
| constants                                                                                                            |          8 |        168 |         30 |         36 |        234 |
| controllers                                                                                                          |         12 |      1,703 |         81 |        326 |      2,110 |
| models                                                                                                               |         20 |      1,541 |        308 |        164 |      2,013 |
| utils                                                                                                                |          4 |        107 |          5 |         10 |        122 |
| utils\functions                                                                                                      |          4 |        107 |          5 |         10 |        122 |
| views                                                                                                                |         60 |     10,452 |        406 |        516 |     11,374 |
| views\screens                                                                                                        |         46 |      8,861 |        370 |        418 |      9,649 |
| views\screens (Files)                                                                                                |         22 |      4,055 |         91 |        199 |      4,345 |
| views\screens\faculty                                                                                                |         24 |      4,806 |        279 |        219 |      5,304 |
| views\screens\faculty (Files)                                                                                        |          4 |        465 |          2 |         26 |        493 |
| views\screens\faculty\announcements                                                                                  |          4 |        748 |          9 |         44 |        801 |
| views\screens\faculty\assignment                                                                                     |          7 |      1,751 |         19 |         62 |      1,832 |
| views\screens\faculty\attendance                                                                                     |          2 |        226 |          0 |         12 |        238 |
| views\screens\faculty\quiz                                                                                           |          3 |        725 |        244 |         35 |      1,004 |
| views\screens\faculty\resources                                                                                      |          4 |        891 |          5 |         40 |        936 |
| views\widgets                                                                                                        |         14 |      1,591 |         36 |         98 |      1,725 |
+----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                             | language | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| c:\Users\shahe\Documents\GitHub\front-end\lib\constants\box_decoration.dart                                          | Dart     |         10 |          3 |          2 |         15 |
| c:\Users\shahe\Documents\GitHub\front-end\lib\constants\colors.dart                                                  | Dart     |         25 |          2 |          2 |         29 |
| c:\Users\shahe\Documents\GitHub\front-end\lib\constants\drop_shadow.dart                                             | Dart     |         12 |          0 |          2 |         14 |
| c:\Users\shahe\Documents\GitHub\front-end\lib\constants\fonts.dart                                                   | Dart     |         39 |          6 |         10 |         55 |
| c:\Users\shahe\Documents\GitHub\front-end\lib\constants\icons.dart                                                   | Dart     |          8 |         19 |          4 |         31 |
| c:\Users\shahe\Documents\GitHub\front-end\lib\constants\log.dart                                                     | Dart     |         38 |          0 |          6 |         44 |
| c:\Users\shahe\Documents\GitHub\front-end\lib\constants\secure_storage.dart                                          | Dart     |         17 |          0 |          6 |         23 |
| c:\Users\shahe\Documents\GitHub\front-end\lib\constants\spacers.dart                                                 | Dart     |         19 |          0 |          4 |         23 |
| c:\Users\shahe\Documents\GitHub\front-end\lib\controllers\announcement_controller.dart                               | Dart     |        187 |         21 |         38 |        246 |
| c:\Users\shahe\Documents\GitHub\front-end\lib\controllers\assignment_controller.dart                                 | Dart     |        466 |         10 |         83 |        559 |
| c:\Users\shahe\Documents\GitHub\front-end\lib\controllers\attendance_controller.dart                                 | Dart     |         90 |         16 |         26 |        132 |
